AIMARA,ESPAÑOL,INGLES
"Nayax saxta muntha, tuntampi, ch ́uqimpi wallpa aychampi jan wayk ́ampi, jumasti?","Yo quiero sajta con tunta, con papa, con pollo y sin ají, ¿y tú?","I want sajta with tunta, with potato, with chicken and without chili, and you?"
"Nayax t ́imphu muntha jacha waka aychampi, juk'a arrusampi, jan ch ́uqimpi","Yo quiero timphu con carne grande, poco arroz y sin papa","I want timphu with large meat, little rice and no potato"
Sarañani kullaka,Iremos hermana,we will go sister
Jisa sarañani,"Sí, iremos",yes we will go
Aski jayp’ukïpan kullaka,Buenas tardes hermana,good afternoon sister
Aski jayp’ukïpanay kullaka,Buenas tardes hermana,good afternoon sister
Kunjamasktasa kullaka?,¿Cómo esta hermana?,Like this sister?
"Waliki kullaka, jumasti?","Bien hermana, ¿y tú?","Well sister, and you?"
Nayax walikiraki. Juman sutimax kunasa?,Yo bien también. ¿Cuál es tu nombre?,I'm fine too. What is your name?
"Nayan sutijax Rutiwa, jumansti?",Mi nombre de mi es Ruth. ¿Y de ti?,My name of me is Ruth. And about you?
Nayan sutijax Abigail satawa,Mi nombre de mi es Abigail,My name of me is Abigail
Kawki markatatasa kullaka?,¿De qué ciudad eres?,What city are you from?
"Nayax La Paz markatathwa, jumasti?","Yo soy de la ciudad de La Paz, ¿y tú?","I am from the city of La Paz, and you?"
Nayax La Paz markatarakitwa,Yo también soy de La Paz,I am also from La Paz
Qawqha maranitasa?,¿Cuántos años tienes?,How old are you?
"Nayax pä tunka kimsaqallquni maranitwa, jumasti kullaka?","Yo tengo 28 años, ¿Y tú hermana?","I am 28 years old, and your sister?"
Nayax pä tunka phisqani maranitwa. Jumax kuna luriritasa?,Yo tengo 25 años. ¿Tú a qué te dedicas?,I have 25 years. What do you do?
"Nayax qullirïyawa, jumasti?","Yo voy a ser médico, ¿y tú?","I'm going to be a doctor, and you?"
Nayax yatiqiritwa,Yo soy estudiante,I am a student
"Qawqha jilat, kullakanitasa?","¿Cuántos hermanos, hermanas tienes?","How many brothers, sisters do you have?"
"Nayax pä jilata, pä kullakanitwa, jumasti kullaka?","Yo tengo 2hermanos y 2 hermanas, ¿y tú hermana?","I have 2 brothers and 2 sisters, and your sister?"
"Nayax mä jilata, pä kullakanitwa. Tatamax khitisa?",Yo tengo un hermano y 2 hermanas. ¿Tú papá quién es?,I have a brother and 2 sisters. Who is your dad?
Nayan tatajax Felixuwa,Mi papá es Felix,my dad is felix
Tatamax kuna luririsa?,¿Tú papá a qué se dedica?,What does your dad do?
Tatajax qulliriwa,Mi papá es médico,my dad is a doctor
Kunas ustam kullaka?,¿Qué te duele hermana?,What hurts sister?
Kupi charaw usutu,Mi pierna derecha me duele,my right leg hurts
Kunarsats ustam?,¿Desde cuándo te duele?,Since when does it hurt?
Waruruta,Desde antes de ayer,since before yesterday
Waliti ustam kullaka?,¿Te duele mucho hermana?,Does it hurt a lot sister?
"Jisa, waliw usutu","Sí, me duele mucho",If it really hurts
Kunats ustam?,¿Por qué te duele?,Why does it hurt?
K’uthaqasthwa,Me he golpeado,i hit myself
Qulliriwkar sarañamawa kullaka,Tienes que ir donde el médico,You have to go to the doctor
"Jisa, nayax saräwa kullaka","Si, yo iré hermana","Yes, I will go sister"
Jumax qawqha uywanitasa?,¿Tú cuántos animales tienes?,How many animals do you have?
"Pä anunitwa, jupanakan sutipax Beylimpi Blancampiwa, jumasti?","Tengo dos perros, de ellos sus nombres son Beyli y Blanca, ¿y tú?","I have two dogs, their names are Beyli and Blanca, and you?"
"Nayax mä anuni, pä phisini, mä wallpanitwa","Yo tengo un perro, dos gatos, una gallina","I have a dog, two cats, a chicken"
Phisimax kuna saminisa?,¿Qué color es tu gato?,What color is your cat?
Janq’umpi ch’umphimpiwa,Es blanco y café,It's white and brown
Kuna urus anatiri sarañani?,¿Qué día iremos a jugar?,What day are we going to play?
Samaña uruw sarañani,El día sábado iremos,On Saturday we will go
Waliki kullaka,Bien hermana,good sister
Kunas utji manq’añataki?,¿Qué tienes para comer?,What do you have to eat?
Manq’añatakix utjiwa chayrumpi saxtampi kullaka,Para comer tengo chairo y sajta hermana,To eat I have chairo and sajta sister
"Nayax chayru muntha, jumasti kullaka?","Yo quiero chairo, ¿y tú hermana?","I want chairo, and your sister?"
Nayax saxta muntha,Yo quiero sajta,I want sajta
Kuna phaxsinsa yuritata?,¿En qué mes has nacido?,In what month were you born?
Qasiwi phaxsina,En el mes de abril,On April
Jichhurux kuna urusa?,¿Hoy qué día es?,What day is it today?
Jichhurux saxra uruwa. Anchitax kuna pachasa?,Hoy es martes. ¿Ahorita que hora es?,Today is Tuesday. What time is it now?
Kimsa jayp’ut pä tunka phisqani k’atanakaw saraqxi,Son las 3:25 de la tarde,It's 3:25 in the afternoon
"Waliki kullaka, sarañani kachiru","Bien hermana, Vamos a la plaza","Well sister, let's go to the square"
"Janiw sarañ munkti, kunatix nayax yatiqaskayathwa","No quiero ir, porque yo estaba estudiando","I don't want to go, because I was studying"
"Walikiskiwa, jikisiñkam kullaka Abigail","Esta bien, hasta luego hermana Abigail",Okay see you later sister Abigail
Jikisiñkamay kullaka Ruth,Hasta luego hermana Ruth,See you later sister Ruth
Aski jayp'ukïpam Cristian,Buenas tardes Cristian,good afternoon cristian
Aski jayp'ukïpanay Marianela,Buenas tardes Marianela,"Good afternoon, Marianela."
Kamisaki Cristian?,¿Cómo está Cristian?,How is Christian?
Waliki Marianela,Bien Marianela,Good Marianela
Akax kunasa Cristian?,¿Qué es esto Cristian?,What is this Christian?
Ukax k'awnawa Marianela,Esto es huevo Marianela,This is egg Marianela
Qawqha kullakanitasa Cristian?,¿Cuántas hermanas tienes Cristian?,How many sisters does Cristian have?
Nayax pä kullakanitwa Marianela,Yo tengo 2 hermanas Marianela,I have 2 sisters Marianela
Kawki markatatasa Cristian?,¿De dónde eres Cristian?,Where are you from Christian?
Nayax Viacha markatatwa Marianela,Soy de Viacha Marianela,I'm from Viacha Marianela
Ipalamax khitisa?,¿Tu tía quién es?,Who is your aunt?
Ipalajax Yuliwa,Mi tía es Yuli,My aunt is Yuli
Jumax kuna luriritasa Cristian?,¿Tú que ocupación tienes Cristian?,What occupation do you have Cristian?
Nayax yatiqiritwa Marianela,Yo soy estudiante Marianela,I am a student Marianela
Kunas ustam?,¿Qué te duele?,What hurts you?
Wasuruta kupi amparaw usutu Marianela,Desde ayer me duele la mano derecha Marianela,Since yesterday my right hand hurts Marianela
Kunjams ustam Cristian?,¿Cómo te duele Cristian?,How does Cristian hurt you?
Janiw sint uskituti Marianela,No me duele mucho Marianela.,It doesn't hurt much Marianela.
Wallpa chicharunax kunjamas phayaña?,¿Cómo se cocina chicharrón de pollo?,How do you cook chicken chicharrón?
"Wallpa aychax thixiñawa, tunqumpi, ch'uqimpi, ch'uñumpix qhathiyañawa, ukhamaraki llaxwampi.","Hay que fritar el pollo, maíz, chuño cosido y salsa picante.","You have to fry the chicken, corn, sewn chuño and hot sauce."
Kuna saminis wank’unakamaxa?,¿Qué color son tus conejos?,What color are your rabbits?
"Payax churiwa, kimsa qallqux janq'uwa","dos anaranjados, ocho blancos","two orange, eight white"
Kuna phaxsinktansa?,¿En que mes estamos?,What month are we in?
Lapaqa phaxsinktanwa,Estamos en el mes de noviembre,We are in the month of November
Kuna pacharusa sarañani anatiri?,¿A qué hora vamos a ir a jugar?,What time are we going to play?
Suxta alwa pachaw sarañani,Iremos a las 6:00 de la mañana,We will go at 6:00 in the morning
Walurux kuna pachas anattanxa?,¿Anteayer a qué hora jugamos?,What time do we play the day before yesterday?
Kimsa kallqu alwaruw anattanxa,A las 8:00 de la mañana hemos jugado,At 8:00 in the morning we played
Jurpurux kuna urunisa?,¿Qué día será pasado mañana?,What day will it be the day after tomorrow?
Jurpurux ñanqha uruwa,Pasado mañana será viernes,The day after tomorrow will be Friday
Qharurkam Cristian,Hasta mañana Cristian,see you tomorrow Cristian
Qharürkamay Marianela,Hasta mañana Marianela,See you tomorrow Marianela
Aski urukïpan kullaka,Buen día hermana.,Good morning sister.
Aski urukïpanay Kullaka,Buen día hermana.,Good morning sister.
Juman sutimax kunasa?,¿Cuál es tú nombre?,What's your name?
Nayan sutijax Rosawa. Jumansti?,Yo me llamo Rosa ¿y tú?,"My name is Rosa, and you?"
Nayan sutijax Lidiawa. Jumax Kawkitatasa?,Yo me llamo Lidia ¿De dónde eres?,"My name is Lidia, where are you from?"
Nayax altu patatatwa. Jumasti?,Yo soy de El Alto. ¿Y tú?,I am from El Alto. And you?
Nayax La Pazatatwa. Qawqha maranitasa?,Yo soy de La Paz. ¿Cuántos años tienes?,I am from La Paz. how old are you?
Nayax kimsa tunka paqallquni maranitwa. Jumasti?,Yo tengo 37 años. ¿Y tú?,I am 37 years old. And you?
Nayax phisqa tunka suxtani maranitwa,Yo tengo 56 años,I am 56 years old
Jumax kuna luriritasa?,¿Cuál es tu ocupación?,What is your occupation?
Nayax t’antá luriritwa. Jumasti?,Yo soy panadera ¿y tú?,"I'm a baker, and you?"
Nayax yatichiritwa. Kunjamasktasa kullaka?,Yo soy profesora. ¿Cómo esta hermana?,I'm a teacher. Like this sister?
Usutatwa,Estoy enferma,I'm sick
Kunas ustam?,¿Qué te duele?,What hurts you?
Qunqurinakajaw usutu,Me duele mis rodillas,my knees hurt
Qulliriru saram kullaka,Al doctor anda hermana,go to the doctor sister
"Jisa qharuruw sarä, kuna manq's munta kullaka?",Sí mañana iré ¿qué comida quieres hermana?,Yes tomorrow I will go what food do you want sister?
"Nayax ispi muntha, jumasti?","Yo quiero ispi, ¿y tú?","I want ispi, and you?"
Nayax chayru muntha,Yo quiero chairo,I want chairo
Tataman sutipax kunasa?,¿Cuál es su nombre de tu papá?,What is your dad's name?
Tatajan sutipax Robertuwa,Su nombre de mi papá es Roberto,His name from my dad is Roberto
Tatamax qawqha phisinisa?,¿Cuantos gatos tiene tú papa?,How many cats does your dad have?
Tatajax mä phisiniwa,Mi papá tiene un gato,my dad has a cat
Utamax Kuna saminisa kullaka?,¿Qué color es tu casa hermana?,What color is your sister house?
Utajax Q’illuwa,Mi casa es amarillo,My house is yellow
Jichhurux kuna urusa?,¿Hoy que día es?,What day is it today?
Jichhurux pacha uruwa. Kuna phaxsisa?,Hoy es miércoles ¿Qué mes es?,"Today is Wednesday, what month is it?"
Taypi sata phaxsiwa. Kullaka Kuna pachasa?,Es septiembre. ¿Hermana que hora es?,Is September. Sister what time is it?
Suxta alwat tunka paqallquni k’atanakaw saraqxi,Son las 06:17 de la mañana.,It is 06:17 in the morning.
"Sarañaxaw kullaka, yaqhuruw jikisinañi","Tengo que ir hermana, otro día nos encontraremos","I have to go sister, another day we will meet"
Iyaw! Jikisiñkam kullaka,Ya! Hasta luego hermana,Already! see you later sister
Jikisiñkamay kullaka,Hasta luego hermana,see you later sister
Aski urukïpan jilata,Buenos días hermano,Good morning brother
Aski urukïpanay kullaka,Buenos días hermana,good morning sister
Kamisaraki jilata,¿Cómo estás hermano?,How are you brother?
Waliki kullaka,"Bien, hermana",ok sister
Phuqhata sutimax kunasa?,¿Cuál es tu nombre completo?,What is your full name?
Phuqhata sutijax Bernabé Adrián Coaquira Quenta,Mi nombre completo es Bernabé Adrián Coaquira Quenta,My full name is Bernabé Adrián Coaquira Quenta
Jumasti?,¿Y el tuyo?,And yours?
Nayan Sutijax Mery Lucia Flores Huacho,Mi nombre es Mery Lucia Flores Huacho,My name is Mery Lucia Flores Huacho.
Kawkins utjaskta jilata?,¿Dónde vives hermano?,Where do you live brother?
Nayax Tacna markana utjtha,Yo vivo en la ciudad de Tacna,I live in the city of Tacna
Jumasti?,¿y tú?,and you?
"Nayax Muqiwa, markana utjasktha",Yo vivo en la ciudad de Moquegua,I live in the city of Moquegua
Qawqha maranitasa jilata?,¿Cuántos años tienes hermano?,How old are you brother?
Nayax kimsa tunka phisqani maranitwa,Yo tengo 35 años,I'm 35 years old
Jumasti?,¿y tú?,and you?
Nayax pusi tunka maranitwa,Yo tengo 40 años,I am 40 years old
Jichhurux kuna urusa jilata?,¿Qué día es hoy hermano?,What day is today brother?
Jichhurux saxra uruwa kullaka,Hoy es martes hermana,today is tuesday sister
Kuna phasinktansa jilata?,¿En qué mes estamos hermano?,How are we brothers?
Taypi sata phaxsinktanwa kullaka,Estamos en el mes de octubre hermana,We are in the month of October sister
Kuna marasa kullaka?,¿En qué año estamos hermana?,What year are we sisters?
Pä waranqa pä tunka mayani maranktanwa,Estamos en el año 2021,We are in the year 2021
Kuna pachasa kullaka?,¿Qué hora es hermana?,What time is it sister?
Tunka phisqani k’atanakampix suxta alwa pachaniwa,Falta 15 minutos para las 6:00 de la mañana,15 minutes to go until 6:00 in the morning
Kuna luriritasa jilata?,¿Cuál es tu ocupación hermano?,What is your occupation brother?
Nayax yatichiritwa kullaka,Yo soy profesor hermana,I am a teacher sister
Jumasti,¿Y tú?,And you?
Nayax yatichirirakitwa,Yo también soy profesora,I am also a teacher
"Jilata janiw walikti, p’iqimpi, kilimpiw wali usutu","Hermano no estoy bien, me duele mucho la cabeza y la columna","Brother I'm not well, my head and spine hurt a lot"
Kullaka qullir utaru saram,Hermana anda al hospital,Sister goes to the hospital
Kuna phaxsis yurta?,¿En qué mes has nacido?,In what month was she born?
Nayax sata qallta phaxsin yuriritwa,Yo he nacido en el mes de septiembre,I was born in the month of September
"Khitimpis utjaskta, jilata?","¿Con quienes vives, hermano?","Who do you live with, brother?"
Nayax wawajampiw utjastha,Yo vivo con mi hijo,I live with my son
"Jumasti, kullaka?",¿y tú hermana?,and your sister?
"Nayax chachajampi, wawajampiw utjastha",Yo vivo con mi esposo y mi hijo,I live with my husband and my son
Kuna saminis uta punkumaxa?,¿Qué color es la puerta de tu casa?,What color is the door of your house?
Uta punkujax chumphiwa,La puerta de mi casa es café,The door of my house is brown
Kuna manq’anakas utji markamana?,¿Qué comida hay en tu pueblo?,What food is there in your town?
Nayan markajan utjiwa chawlla thixi,En mi pueblo hay pescado frito,In my town there is fried fish
Arumanthiw aruskipañani jilata,Mañana hablamos hermano,We talk tomorrow brother
"Jisa, kullaka","Sí, hermana",Yes Sister
Jikisiñkam jilata,Hasta pronto hermano,See you soon brother
Jikisiñkamay kullaka,Hasta luego hermana,see you later sister
Aski urukïpan Kullaka,Buen día hermana,good morning sister
Aski urukïpanay kullaka,Buen día hermana,good morning sister
Kamisaki kullakita?,¿Cómo estás hermanita?,How are you little sister?
Waliki kullaka,Bien hermana,good sister
Juman sutimax kunasa?,¿Cuál es tu nombre?,What's your name?
Nayan sutijax Paola,Mi nombre es Paola,My name is Paola
Jumasti?,¿Y el tuyo?,And yours?
Nayan sutijax Veronica,Mi nombre es Verónica,My name is Veronica
Ukax kunasa kullaka Paola?,¿Eso qué es hermana Paola?,What is that sister Paola?
Ukax panqaraw kullaka,Eso es flor hermana,that's flower sister
Kawkitatasa kullaka?,¿De dónde eres hermana?,Where are you from sister?
Nayax La Paz markatatwa,Yo soy de La Paz,I am from La Paz
Nayax paceñatwa,Yo soy paceña,I am from Paz
Qawqha kullakanitasa?,¿Cuántas hermanas tienes?,how many sisters do you have?
Nayax pusi kullakanitwa,Yo tengo 4 hermanas,I have 4 sisters
Jumax kuna luriritasa?,¿Cuál es tu ocupación?,What is your occupation?
Nayax laka qulliritwa,Yo soy dentista,I am a dentist
Jumasti?,¿Y tú?,And you?
Nayax arxatiritwa,Yo soy abogada,I'm a lawyer
Nayarux laka ch’akhaw usutu,Me duele el diente,My tooth hurts
Kunachaqas ustam?,¿En qué lugar te duele?,Where does it hurt?
Akachaqaw usutu,Me duele aquí,It hurts here
Kunarsats ustam?,¿Desde cuándo te duele?,Since when does it hurt?
Wasur arumata,Desde ayer en la noche,since last night
Kunats ustam?,¿Por qué te duele?,Why does it hurt?
Nayaw tunqu t’uruskayätha,Yo estaba comiendo maíz,I was eating corn
Nayaw qulla churäma,Te dare medicamento,I dare you to medicate
Pay kullaka,Gracias hermana,Thank you sister
Janiw kunakisa,No es nada,it's no big deal
Kuna manq’s munta?,¿Qué comida quieres?,What food do you want?
"Saxta muntha, pay","Sajta quiero, gracias","Sajta I want, thank you"
Kuna pachasa?,¿Qué hora es?,What time is it?
Suxta jayp’uwa,Son las 06:00 de la tarde,It's 06:00 in the afternoon
Kuna urunktansa?,¿En qué día estamos?,What day is today?
Willkürunktanwa,Estamos en domingo,we are on sunday
Nayaw sarä jawiraru,Yo me iré al río,I will go to the river
Qharurkam kullaka Paola,Hasta mañana hermana Paola,See you tomorrow sister paola
Qharurkamay Verónica,Hasta mañana Veronica,See you tomorrow Veronica
Aski urukïpan kullaka,Buenas tardes hermana,good afternoon sister
Aski urukïpanay kullaka,Buenas tardes hermana,good afternoon sister
Kamisaki?,¿Cómo estas?,How are you?
Waliki,Muy bien,Very good
Juman sutimax kunasa?,¿Tú cómo te llamas?,What's your name?
"Nayan sutijax Oliviawa, jumansti?",Yo soy Olivia ¿y tú?,I am Olivia and you?
Nayan sutijax Claudiawa,Yo soy Claudia,I'm Claudia
"Olivia, qawqha maranitasa?",Olivia ¿cuántos años tienes?,"Olivia, how old are you?"
"Nayax pä tunka maranithwa, jumasti?",Yo tengo 22 años y tú?,"I am 22, and you?"
Nayax kimsa tunka payani maranitwa,Yo tengo 32 años,I am 32 years old
Jumax qawqha jilanitasa?,¿Cuántos hermanos tienes?,How many brothers you have?
"Janiw jilanikti, jumasti?",No tengo hermanos ¿y tú?,"I don't have siblings, and you?"
Nayax pä jilanitwa,Yo tengo 2 hermanos,I have 2 brothers
Tatamax khitisa?,¿Quién es tu papa?,Who is your dad?
Tatajax Robertowa,Mi papá es Roberto,my dad is roberto
Ah! Waliki,Ah! Está bien,Oh! esta bien
Jumax kawkins jakasta?,¿Dónde vives?,Where you live?
"Nayax munaypatan jakastha, jumasti?","Yo vivo en Munaypata, ¿y tú?","I live in Munaypata, and you?"
Nayax Villa Fatimana jakastha,Yo vivo en Villa Fátima,I live in Villa Fatima
Kuna manaq's munta?,¿Qué quieres comer?,What do you want to eat?
Ají de fidiwu muntha,Ají de fideo quiero,I want noodle chili
"Jumasti, Claudia?",¿Y a ti claudia?,And you Claudia?
Chayru,A mi me gusta el chairo,I like the chairo
Qhipuru manq'asiñani,Otro día comeremos,another day we will eat
Kunachaqas ustam?,¿Qué lugar te duele?,What place hurts you?
"Akachaqaw usutu, qunqurijaw usutu, jumarusti kunas ustam?","Este lugar me duel, mi rodilla me duele, ¿y ati qué te duele?","This place hurts, my knee hurts, and what hurts you?"
Nayarux p’iqiw usutu,A mi me duele la cabeza,My head hurts
Qullasitaw kullaka,Te vas a curar hermana,you will heal sister
Jisa kullakita,Si hermanita,Yes Sister
Ukax kunasa?,¿Qué es eso?,What's that?
Akax phukhuwa,Esto es olla,this is pot
"Kuna pachasa, kullaka?",¿Qué hora es hermana?,What time is it sister?
Tunka payani k'atanakampix suxta jayp'u pachaniwa,Menos 12 para las 06:00 de la tarde,Minus 12 for 06:00 in the afternoon
"Kullaka, nayax morenada thuqhtha samaña uruna",Hermana yo he bailado morenada el día sabado sábado,Sister I have danced brunette on Saturday Saturday
Wali khusaw kullaka. Nayax phaythwa,Muy bien hermana. Yo he cocinado,Very good sister. I cooked
Kunurus purinta?,¿Qué día has llegado?,What day has it come?
Phaxsi uruw purintha,He llegado el día lunes,Monday came
Kunurus sarxäta?,¿Cuándo te vas a ir?,When are you going to leave?
Inti uruw sarxä,Me iré el día domingo,I will go on Sunday
Mamamax kuna phaxsinsa yuritäna?,¿Tu mamá en qué mes había nacido?,What month was your mother born in?
Willkakuti phaxsina yuritäna,En el mes de julio,In July
Uywanak qullur anakiñani,Llevaremos los animales al cerro,We will take the animals to the hill
"Walikiwa, anakiñani","Bien, llevaremos",ok we'll take
Aski arumakïpan jilata,Buenas noches hermano,good night brother
Aski arumakïpanay jilata,Buenas noches hermano,good night brother
"Kamisaki, jilata?",¿Cómo estás hermano?,How are you brother?
Nayax walikisktwa,Yo estoy bien,I'm fine
Juman phuqhat sutimax kunasa?,¿Cuál es tu nombre completo?,What is your full name?
Nayan sutijax Luis Alberto Mansilla Laura satatwa,Mi nombre es Luis Alberto Mansilla Laura,My name is Luis Alberto Mansilla Laura
Jumansti?,¿y tú?,and you?
Nayan sutijax Grover Ramos Escobar satatwa,Mi nombre es Grover Ramos Escobar,My name is Grover Ramos Escobar.
Akax kunasa jilata?,¿Qué es esto hermano?,What is this brother?
Ukax mä chililiriwa,Eso es un celular,that's a cell phone
Jupax khitisa?,¿Quién es ella?,Who is she?
Jupax kullakajawa,Ella es mi hermana,she is my sister
Kullakamasti qawqha maranisa?,¿Y tu hermana cuántos años tiene?,And how old is your sister?
kullakajax kimsa tunka maraniwa,Mi hermana tiene 30 años,my sister is 30 years old
Kullakamax sapaskisti?,¿Tu hermana está sola (soltera)?,Is your sister alone (single)?
"Kullakajax nayraw jaqichasxi, janiw sapakiti","Mi hermana se casó antes, no está sola","My sister was done before, she is not alone"
"Waliki, jilata","Esta bien, hermano",OK bro
Qawqha utanitasa jilata?,"¿Cuántas casas tienes, hermano?","How many houses do you have, brother?"
"Mä utanitwa, jilata","Una casa tengo, hermano","I have a house, brother"
Qawqha k’añaskunitasa?,¿Cuántos autos tienes?,How many cars do you have?
"Janiw k’añaskunikti, nayax uywanitwa mä qaqilumpi, suxta wallpampi, khimsa phimsimpi","No tengo auto, yo tengo animales, un caballo, 6 gallinas y 3 gatos","I don't have a car, I have animals, a horse, 6 chickens and 3 cats"
"Nayax usuntwa, qaqilujaw liwtitu jilata","Yo me enferme, mi caballo me botó hermano","I got sick, my horse kicked me brother"
Kunas ustam jilata?,¿Qué te duele hermano?,What hurts brother?
"Jaraphiw usutu, p’akitawa","Mi costilla me duele, está roto","My rib hurts, it's broken"
Sintit ustam?,¿Te duele mucho?,Does it hurt a lot?
Sintiw usutu jilata,Me duele demasiado hermano,it hurts too much brother
"Qullasismay jilata, waliptañamawa","Te vas a curar, tienes que sanarte","You are going to heal, you have to heal"
"Waliki jilata, qullasiw","Está bien hermano, me curaré","It's alright brother, I'll heal"
Jumax kuna luriritasa?,¿Tú qué sabes hacer?,What do you know how to do?
Nayax Palla pallatwa,Yo soy policía,I am a police officer
Kuna achs munta?,¿Qué fruta quieres?,What fruit do you want?
Nayax puquta muntha,Yo quiero plátano,I want banana
Kuna saminis anumaxa?,¿Qué color es tu perro?,What color is your dog?
Anujax janq’umpi ch’iyarampiwa,Mi perro es blanco y negro,my dog ​​is black and white
Kuna phaxisa jilata?,¿Qué mes es hermano?,What month is it brother?
Taypi satawa jilata,Es octubre hermano,it's october brother
Kuna pachasa? Nayax sarjañ muntha,¿Qué hora es? me quiero ir,What time is it? I want to go
"Arumaxiwa jilata, paqallqu arumat kimsa tunka k’atanakaw saraxi jilata","Es de noche hermano, son las 07:30 de la noche hermano","It's night brother, it's 07:30 at night brother"
Ukhamax sarxä qhipuruw jikisiñani jilata Grover,Entonces me iré otro día nos encontraremos hermano Grover,Then I'll go another day we'll meet brother Grover
Ukhamax qhipurkamay jilata Luis,Entonces hasta otro día hermano Luis,So see you another day brother Luis
Aski alwakïpan jilata,Buenos días hermano,Good morning brother
Aski alwakïpanay kullaka,Buenos días hermana,good morning sister
Kamisaki jilata?,¿Cómo estás hermano?,How are you brother?
"Waliki kullaka, Juman sutimax kunasa?",Bien hermana. ¿Cuál es tu nombre?,Good sister. What's your name?
Nayan sutijax priscelawa. Jumansti?,Mi nombre es Priscela. ¿Y de ti?,My name is Priscilla. And about you?
Nayan sutijax Danieluwa,Mi nombre es Daniel,My name is Daniel
Aka pankax khitinkisa?,¿Este libro de quién es?,Whose book is this?
Uka pankax jumankiwa,Ese libro es de ti,that book belongs to you
Kha utax khitinkisa?,¿Esa casa de quién es?,Whose house is it?
Uka utax jiwasankiwa. Qawqha maranitasa?,Esa casa es de nosotros. ¿Cuántos años tienes?,That house belongs to us. How old are you?
Nayax kimsa tunka kimsani maranitwa.,Yo tengo 33 años,I'm 33 years old
Mamamax qawqha kullakanisa?,¿Tu mamá cuántas hermanas tiene?,How many sisters does your mom have?
Mamajax pusi kullakaniwa,Mi mama tiene 4 hermanas,My mom has 4 sisters.
Jupax kunapachas jutani?,¿Cuándo vendrá ella?,When will she come?
Jupax qharuruw jutani.,Ella vendrá mañana.,She will come tomorrow.
Jumax kuna luriritasa?,¿Tú qué haces?,What are you up to?
Nayax yatichiritwa. Jumasti?,Yo soy profesor. ¿Y tú?,I am a teacher. And you?
Nayax Ingenierutwa,Yo soy Ingeniero,I'm an engineer
Kunas ustam?,¿Qué te duele?,What hurts you?
Tayka luk’anaw usutu,Me duelo el dedo pulgar,my thumb hurts
Kuna manq’s munta?,¿Qué comida quieres?,What food do you want?
Nayax ispi muntha. Ispix kunjamas phayaña?,yo quiero ispi. ¿Cómo se cocina el ispi?,I want ispi. How is ispi cooked?
"Ispix challwampi, tunqumpi, ch’uqimpi, wayk’ampi, ukamaw phayaña","Ispi es con pescado, maíz, papa, ají, así se cocina","Ispi is with fish, corn, potato, chili, that's how it is cooked"
Kuna urus yuriwimaxa?,¿Cuándo es tu cumpleaños?,When is your birthday?
"Pacha uruwa, llamayu phaxsinkiwa.","Es mipercoles, en el mes de mayo.","It's Wednesday, in the month of May."
Kuna pachasa?,¿Qué hora es?,What time is it?
Suxta alwa pachawa,Son las 06:00 de la mañana,It's 06:00 in the morning
"Jicchurux irnaqiriw sará, jumax kuns luräta?",Hoy iré a trabajar ¿y tú eué haras?,"Today I will go to work, and what will you do?"
Nayax awichujawka sarä,Yo iré donde mi abuela,I will go to my grandmother
Kuna uywanakanisa awichamaxa?,¿Qué animales tiene tu abuela?,What animals does your grandmother have?
"Awichajax wallpani, phisini, iwijani, anuni, wakani, khuchiniwa","Mi abuela tiene gallina, gato, oveja, perro, vaca y chancho","My grandmother has a chicken, a cat, a sheep, a dog, a cow and a pig."
Phisipax kuna saminisa?,¿De qué color es su gato?,What color is her cat?
"Phisipax janq’umpi, ch’iyarampiwa",Su gato es de color blanco y negro,Her cat is black and white
"Anuspasti, kuna saminisa?",¿Y su perro de qué color es?,And what color is your dog?
Anupax allqawa,Su perro es de 2 colores (por lo general negro y blanco),Her dog is 2 colors (usually black and white)
Jurpürkam kullaka,Hasta pasado mañana hermana.,Until the day after tomorrow sister.
Jurpürkamay jilata,hasta pasado mañana hermano,see you the day after tomorrow brother
